time_zone_id,utc_offset,description
TIME_ZONE_000,-03:30,Seek phone better doctor with himself.
TIME_ZONE_001,+03:30,Yet teacher pressure fish.
TIME_ZONE_002,-03:30,Community modern owner including certainly.
TIME_ZONE_003,+00:00,
TIME_ZONE_004,+10:00,Key seek control national method.
TIME_ZONE_005,+09:30,Because leave radio fight.
TIME_ZONE_006,+08:00,Church brother prevent box.
TIME_ZONE_007,+04:30,Him bad series.
TIME_ZONE_008,+14:00,Ahead table seem nation best.
TIME_ZONE_009,-12:00,
TIME_ZONE_010,+08:00,Scientist little hand or such certainly.
TIME_ZONE_011,-07:00,Young shake nature father.
TIME_ZONE_012,+12:45,Lay term which.
TIME_ZONE_013,+07:00,Cover analysis foreign keep.
TIME_ZONE_014,+03:30,
TIME_ZONE_015,-11:00,Good final central support information.
TIME_ZONE_016,+09:00,Song miss protect among official.
TIME_ZONE_017,-11:00,Region law recently according bill.
TIME_ZONE_018,-05:00,Fight wall learn wish purpose.
TIME_ZONE_019,+05:45,Large because whose.
TIME_ZONE_020,-12:00,
TIME_ZONE_021,+03:30,Small head interesting admit.
TIME_ZONE_022,+12:00,Relate democratic most yet quite.
TIME_ZONE_023,-08:00,Leader wide middle cover.
TIME_ZONE_024,-09:30,Play mother happy bar senior.
TIME_ZONE_025,+05:45,Actually story news.
TIME_ZONE_026,+05:45,
TIME_ZONE_027,+12:45,Surface according season.
TIME_ZONE_028,-01:00,
TIME_ZONE_029,+12:00,
TIME_ZONE_030,+14:00,Man the mention true training might.
TIME_ZONE_031,+00:00,Example teacher stand water themselves.
TIME_ZONE_032,+10:30,Head expert suffer store.
TIME_ZONE_033,-09:00,Water well understand relate turn.
TIME_ZONE_034,+10:30,Specific sound scientist party after.
TIME_ZONE_035,+12:00,Training stage identify.
TIME_ZONE_036,+03:30,Sometimes environmental pressure surface soon.
TIME_ZONE_037,-09:00,
TIME_ZONE_038,-08:00,
TIME_ZONE_039,+03:30,
TIME_ZONE_040,-06:00,Gun keep discover act more.
TIME_ZONE_041,-01:00,Recognize force campaign recently exactly.
TIME_ZONE_042,+03:30,Write wear management.
TIME_ZONE_043,-05:00,Situation executive difference.
TIME_ZONE_044,-11:00,
TIME_ZONE_045,+07:00,Else natural partner PM goal.
TIME_ZONE_046,+04:30,Others catch see.
TIME_ZONE_047,+11:00,Accept hair fast that.
TIME_ZONE_048,+04:00,Wide add star common.
TIME_ZONE_049,+04:00,
